1.0246,1.0375,-0.94184,1
-1.041,1.0175,-1.0016,1
0.96552,0.93186,1.0322,-1
-0.99201,1.0002,-1.0488,1
-1.0169,0.99063,1.0045,1
0.97211,1.0509,-0.94495,1
1.0112,1.0019,-1.0014,1
-0.9461,0.98937,-0.93773,1
-1.023,-1.0415,-0.97715,1
0.95763,-1.0244,-0.92881,-1
-0.99993,-0.97104,1.0159,1
0.98905,0.98439,0.96765,-1
-0.99204,1.0681,0.95079,1
1.0253,1.0102,1.0215,-1
-0.95968,-1.0346,0.95947,1
-1.0422,1.019,-1.0193,1
1.0169,1.0236,-1.0197,1
-0.99986,1.0033,-1.0331,1
0.91295,1.0203,1.041,-1
-1.0029,0.95647,-0.92249,1
0.99958,0.93183,1.0308,-1
1.003,-0.99545,-1.0022,-1
1.0257,0.9878,-1.0771,1
1.0314,-0.98063,1.0451,-1
-1.0354,-1.0611,-0.99977,1
-1.0029,-0.99829,-1.0662,1
-0.99968,-0.97868,-1.0459,1
-0.99352,1.0097,-1.0252,1
0.97291,-0.94484,-0.96391,-1
0.99967,0.99906,-1.0001,1
1.0334,1.0191,-0.90992,1
1.0094,1.0112,-0.98321,1
0.95946,-0.97277,0.99957,-1
1.0173,-1.0062,1.0155,-1
-0.97814,0.94983,1.0321,1
-1.014,-1.0013,-1.0001,1
-1.0389,-0.98953,-1.0309,1
-0.98293,-1.0175,1.0324,1
1.0712,0.98297,0.94414,-1
1.0073,1.0012,-0.99428,1
1.0326,1.0368,0.95643,-1
0.98001,1.0041,1.0442,-1
-0.95168,-1.0037,0.91786,1
-0.99921,-0.99963,0.99285,1
0.94923,-1.0485,0.93163,-1
-1.0322,0.97027,-1.0438,1
-1.0311,0.99894,0.99463,1
1.0005,0.99882,0.96102,-1
-1.004,1.0338,0.94132,1
-0.99067,1.0076,0.97538,1
0.98032,1.0069,-0.95794,1
1.0124,0.998,-0.95439,1
-1.0029,0.97982,-1.077,1
1.0657,-0.99942,0.96603,-1
1.002,1.0036,-0.98732,1
-1.0448,-0.93696,-1.0278,1
-1.0517,0.98877,0.98227,1
-0.94524,1.0426,-1.0518,1
-1.0062,-1.0045,-0.93384,1
-0.99547,-0.97812,1.0853,1
-1.036,-0.9912,0.92671,1
0.99869,-1.0195,-1.0409,-1
0.98042,0.98193,-1.0861,1
1.0064,1.0023,-1.0136,1
-0.99405,0.97984,-1.0034,1
-0.99918,1.005,-0.9872,1
0.99518,1.0256,-0.9932,1
-1.0027,-0.99962,-0.99429,1
-0.96698,1.0037,-1.0886,1
0.98671,-0.98193,-1.0905,-1
-1.012,0.98993,1.0625,1
0.95122,-1.0071,1.0399,-1
1.0298,0.98845,0.97632,-1
-1.0676,0.96418,-0.93585,1
-1.0343,-1.0413,1.0253,1
-1.0114,1.0075,1.0107,1
-1.0392,-0.9345,0.96596,1
